Reference, Value, Footprint, Datasheet
"J3","Solar panel","",""
"J6","Battery","",""
"R1","100K","",""
"R3","15K","",""
"C1","100nF","",""
"C1.1","100uF","",""
"C1.2","100uF","",""
"C1.3","100uF","",""
"C1.4","100uF","",""
"U2","ACS712module","",""
"F1","Fuse_20A","",""
"BT1","Battery_FLA_+12V_120AH","",""
"J4","LOAD","",""
"J1","Buck_IN","",""
"J2","Buck_OUT","",""
"D4","1N4148","",""
"R5","2K2","",""
"U3","DS18B20","",""
"J5","Temperature","",""
"D3","P6KE47CA","",""
"R2","100K","",""
"R4","10K","",""
"Q5","2N3904","",""
"R8","100K","",""
"R12","10K","",""
"Q10","2N3904","",""
"D5","1N4148","",""
"D6","1N4148","",""
"Q8","2N3906","",""
"R10","22K","",""
"Q9","2N3906","",""
"R11","47K","",""
"D1","1N4148","",""
"D2","1N4148","",""
"Q3","2N3906","",""
"R6","22K","",""
"Q4","2N3906","",""
"R7","47K","",""
"U5","ACS712module","",""
"R9","100K","",""
"R13","47K","",""
"U7","MP2307_DC-DC_module","",""
"C2","100nF","",""
"U9","ArduinoNano","",""
"U8","LCDSerial2004","",""
"SW1","Backlight control","",""
"R14","10K","",""
"J7","Jack-DC","",""
"Q2","IRF4905","TO_SOT_Packages_THT:TO-220_Vertical",""
"Q1","IRF4905","TO_SOT_Packages_THT:TO-220_Vertical",""
"Q7","IRF4905","TO_SOT_Packages_THT:TO-220_Vertical",""
"Q6","IRF4905","TO_SOT_Packages_THT:TO-220_Vertical",""
"J8","SD_Micro_5V","",""
"U6","DS1307_RTC","",""
"U4","DS18B20","",""
"J9","Screw_Terminal_01x03","",""
"D7","GREEN LED","",""
"D8","RED LED","",""
"R15","470","",""
"R16","470","",""
"U1","SZBK07_DC-DC_module","",""
